scenario,api_type,trial,response_time_ms,response_size_bytes,status_code
single_book_card,GraphQL,1,27.1275,160,200
single_book_card,REST,1,3.8456,1403,200
single_book_card,GraphQL,2,19.1589,160,200
single_book_card,REST,2,13.5456,1403,200
single_book_card,REST,3,3.9467,1403,200
single_book_card,REST,4,5.9183,1403,200
single_book_card,GraphQL,3,6.866,160,200
single_book_card,GraphQL,4,21.8164,160,200
single_book_card,GraphQL,5,6.4841,160,200
single_book_card,REST,5,4.7082,1403,200
single_book_card,REST,6,5.4895,1403,200
single_book_card,GraphQL,6,8.7848,160,200
single_book_card,GraphQL,7,6.3749,160,200
single_book_card,GraphQL,8,26.9238,160,200
single_book_card,GraphQL,9,16.1061,160,200
single_book_card,GraphQL,10,5.6648,160,200
single_book_card,REST,7,4.0024,1403,200
single_book_card,REST,8,5.4756,1403,200
single_book_card,GraphQL,11,5.8616,160,200
single_book_card,REST,9,22.5691,1403,200
single_book_card,REST,10,13.1138,1403,200
single_book_card,REST,11,3.7604,1403,200
single_book_card,GraphQL,12,8.1688,160,200
single_book_card,REST,12,4.0193,1403,200
single_book_card,GraphQL,13,9.4256,160,200
single_book_card,REST,13,6.4768,1403,200
single_book_card,REST,14,5.2515,1403,200
single_book_card,GraphQL,14,10.6303,160,200
single_book_card,REST,15,4.1869,1403,200
single_book_card,GraphQL,15,15.9309,160,200
single_book_card,REST,16,3.6054,1403,200
single_book_card,REST,17,4.2741,1403,200
single_book_card,GraphQL,16,15.6422,160,200
single_book_card,REST,18,27.3753,1403,200
single_book_card,GraphQL,17,6.2225,160,200
single_book_card,REST,19,4.6239,1403,200
single_book_card,GraphQL,18,6.8565,160,200
single_book_card,GraphQL,19,5.6351,160,200
single_book_card,GraphQL,20,6.7401,160,200
single_book_card,GraphQL,21,8.0251,160,200
single_book_card,REST,20,4.7189,1403,200
single_book_card,GraphQL,22,6.2252,160,200
single_book_card,GraphQL,23,17.9231,160,200
single_book_card,REST,21,5.1873,1403,200
single_book_card,REST,22,5.5145,1403,200
single_book_card,GraphQL,24,7.3519,160,200
single_book_card,REST,23,5.3106,1403,200
single_book_card,GraphQL,25,9.7702,160,200
single_book_card,GraphQL,26,29.3483,160,200
single_book_card,GraphQL,27,5.8648,160,200
single_book_card,REST,24,4.3849,1403,200
single_book_card,GraphQL,28,6.4806,160,200
single_book_card,REST,25,4.3253,1403,200
single_book_card,REST,26,4.4597,1403,200
single_book_card,REST,27,5.6016,1403,200
single_book_card,REST,28,5.1378,1403,200
single_book_card,GraphQL,29,7.9258,160,200
single_book_card,REST,29,5.8892,1403,200
single_book_card,REST,30,20.4463,1403,200
single_book_card,GraphQL,30,6.6628,160,200
book_list,GraphQL,1,11.4136,830,200
book_list,GraphQL,2,8.242,830,200
book_list,REST,1,4.9774,12544,200
book_list,GraphQL,3,7.1048,830,200
book_list,GraphQL,4,7.4816,830,200
book_list,REST,2,8.866,12544,200
book_list,GraphQL,5,15.7871,830,200
book_list,GraphQL,6,13.4177,830,200
book_list,REST,3,7.9342,12544,200
book_list,GraphQL,7,7.9512,830,200
book_list,GraphQL,8,7.0465,830,200
book_list,REST,4,5.5773,12544,200
book_list,REST,5,4.4502,12544,200
book_list,REST,6,6.6645,12544,200
book_list,GraphQL,9,9.5756,830,200
book_list,REST,7,4.4255,12544,200
book_list,REST,8,5.6296,12544,200
book_list,REST,9,5.6899,12544,200
book_list,REST,10,5.7513,12544,200
book_list,GraphQL,10,30.8534,830,200
book_list,REST,11,5.6601,12544,200
book_list,GraphQL,11,9.5986,830,200
book_list,REST,12,7.1398,12544,200
book_list,REST,13,4.4366,12544,200
book_list,GraphQL,12,6.6255,830,200
book_list,GraphQL,13,12.5933,830,200
book_list,REST,14,6.1731,12544,200
book_list,REST,15,34.1948,12544,200
book_list,GraphQL,14,12.5554,830,200
book_list,GraphQL,15,8.7134,830,200
book_list,GraphQL,16,10.8099,830,200
book_list,REST,16,5.4824,12544,200
book_list,GraphQL,17,9.5303,830,200
book_list,GraphQL,18,10.3347,830,200
book_list,GraphQL,19,8.2491,830,200
book_list,REST,17,5.0446,12544,200
book_list,REST,18,24.9701,12544,200
book_list,GraphQL,20,17.3701,830,200
book_list,REST,19,7.7867,12544,200
book_list,GraphQL,21,9.9317,830,200
book_list,REST,20,6.8979,12544,200
book_list,REST,21,24.7769,12544,200
book_list,REST,22,6.5363,12544,200
book_list,REST,23,5.1769,12544,200
book_list,GraphQL,22,11.675,830,200
book_list,REST,24,5.0907,12544,200
book_list,REST,25,5.785,12544,200
book_list,REST,26,5.5699,12544,200
book_list,GraphQL,23,8.9276,830,200
book_list,REST,27,5.7586,12544,200
book_list,REST,28,4.6352,12544,200
book_list,GraphQL,24,6.6181,830,200
book_list,REST,29,5.0888,12544,200
book_list,GraphQL,25,6.7373,830,200
book_list,REST,30,6.478,12544,200
book_list,GraphQL,26,13.1467,830,200
book_list,GraphQL,27,39.2809,830,200
book_list,GraphQL,28,10.1158,830,200
book_list,GraphQL,29,10.7914,830,200
book_list,GraphQL,30,12.5622,830,200
book_full_detail,GraphQL,1,15.4128,900,200
book_full_detail,GraphQL,2,11.5945,900,200
book_full_detail,REST,1,5.1704,1403,200
book_full_detail,GraphQL,3,8.4233,900,200
book_full_detail,REST,2,5.5738,1403,200
book_full_detail,REST,3,23.4769,1403,200
book_full_detail,REST,4,4.9728,1403,200
book_full_detail,GraphQL,4,10.518,900,200
book_full_detail,REST,5,5.603,1403,200
book_full_detail,GraphQL,5,10.0581,900,200
book_full_detail,REST,6,5.3022,1403,200
book_full_detail,REST,7,6.3068,1403,200
book_full_detail,REST,8,5.3806,1403,200
book_full_detail,REST,9,5.7105,1403,200
book_full_detail,REST,10,5.5847,1403,200
book_full_detail,GraphQL,6,18.658,900,200
book_full_detail,GraphQL,7,12.2794,900,200
book_full_detail,GraphQL,8,14.4013,900,200
book_full_detail,GraphQL,9,13.2714,900,200
book_full_detail,REST,11,6.7231,1403,200
book_full_detail,GraphQL,10,15.9757,900,200
book_full_detail,REST,12,7.3536,1403,200
book_full_detail,GraphQL,11,12.0955,900,200
book_full_detail,REST,13,6.2297,1403,200
book_full_detail,GraphQL,12,12.2932,900,200
book_full_detail,GraphQL,13,8.5677,900,200
book_full_detail,REST,14,4.7175,1403,200
book_full_detail,GraphQL,14,7.9862,900,200
book_full_detail,GraphQL,15,19.1321,900,200
book_full_detail,GraphQL,16,8.452,900,200
book_full_detail,REST,15,4.7024,1403,200
book_full_detail,REST,16,5.1166,1403,200
book_full_detail,GraphQL,17,18.6276,900,200
book_full_detail,GraphQL,18,11.8822,900,200
book_full_detail,REST,17,4.222,1403,200
book_full_detail,GraphQL,19,8.2985,900,200
book_full_detail,REST,18,6.6719,1403,200
book_full_detail,REST,19,4.5804,1403,200
book_full_detail,GraphQL,20,7.543,900,200
book_full_detail,GraphQL,21,9.8717,900,200
book_full_detail,REST,20,4.6854,1403,200
book_full_detail,GraphQL,22,11.1345,900,200
book_full_detail,REST,21,4.2576,1403,200
book_full_detail,REST,22,5.3183,1403,200
book_full_detail,REST,23,14.1964,1403,200
book_full_detail,REST,24,6.2896,1403,200
book_full_detail,GraphQL,23,8.9238,900,200
book_full_detail,GraphQL,24,48.8566,900,200
book_full_detail,REST,25,5.2182,1403,200
book_full_detail,REST,26,5.1696,1403,200
book_full_detail,REST,27,6.7975,1403,200
book_full_detail,REST,28,7.5085,1403,200
book_full_detail,GraphQL,25,11.101,900,200
book_full_detail,REST,29,4.3098,1403,200
book_full_detail,GraphQL,26,8.3453,900,200
book_full_detail,GraphQL,27,7.0225,900,200
book_full_detail,REST,30,17.8787,1403,200
book_full_detail,GraphQL,28,9.1236,900,200
book_full_detail,GraphQL,29,6.969,900,200
book_full_detail,GraphQL,30,7.446,900,200
